id,uri,prefLabel,definition
SDN:L06::97,http://vocab.nerc.ac.uk/collection/L06/current/97/,snowcat,"An enclosed cab, truck-sized, fully tracked vehicle designed to travel over snow."
SDN:L06::99,http://vocab.nerc.ac.uk/collection/L06/current/99/,mesocosm tank,"An indoor or outdoor tank containing water, used to house an experimental system. Instruments attached to the tank are used to measure and control conditions to help evaluate how organisms or communities react to controlled environmental changes."
SDN:L06::6D,http://vocab.nerc.ac.uk/collection/L06/current/6D/,unmanned aerial vehicle,Any untethered heavier-than-air aircraft that is not occupied by people: may be a remotely piloted aircraft or an autonomous aircraft. Also referred to as a drone.
SDN:L06::60,http://vocab.nerc.ac.uk/collection/L06/current/60/,non-buoyant aircraft,A platform capable of flight in the atmosphere despite its being heavier than air.
SDN:L06::49,http://vocab.nerc.ac.uk/collection/L06/current/49/,surface ice buoy,An undrogued (i.e. no sub-surface parachute) surface float that is deployed in regions where sea ice forms that moves with either ice or water depending upon the time of year.
SDN:L06::42,http://vocab.nerc.ac.uk/collection/L06/current/42/,drifting surface float,An unmanned instrumented platform operating on the surface of the water column often attached to a drogue to track currents rather than winds (e.g. Argos buoy).
SDN:L06::98,http://vocab.nerc.ac.uk/collection/L06/current/98/,snowmobile,"A motorised vehicle, designed with skis and tracks, for travel on snow."
SDN:L06::94,http://vocab.nerc.ac.uk/collection/L06/current/94/,drift ice,Sea ice not connected to land with an ice concentration of under 70 per cent.
SDN:L06::4A,http://vocab.nerc.ac.uk/collection/L06/current/4A/,Ice-tethered subsurface profiling float,A platform that periodically makes an automated vertical traverse of the water column that is fixed to a floating body of ice.
SDN:L06::90,http://vocab.nerc.ac.uk/collection/L06/current/90/,cryosphere,"A frozen body of water on land, freshwater or sea."
SDN:L06::91,http://vocab.nerc.ac.uk/collection/L06/current/91/,ice island,A floating ice sheet detached from the coast.
SDN:L06::92,http://vocab.nerc.ac.uk/collection/L06/current/92/,ice shelf,A floating ice sheet attached to the coast.
SDN:L06::93,http://vocab.nerc.ac.uk/collection/L06/current/93/,pack ice,Sea ice not connected to land with an ice concentration of over 70 per cent.
SDN:L06::3C,http://vocab.nerc.ac.uk/collection/L06/current/3C/,surface gliders,"Platforms operating at a single depth near the sea surface, using a combination of solar energy and wave motion as means of propulsion."
SDN:L06::3B,http://vocab.nerc.ac.uk/collection/L06/current/3B/,autonomous surface water vehicle,A self-propelled vehicle operating on the sea surface with no human occupants.
SDN:L06::3D,http://vocab.nerc.ac.uk/collection/L06/current/3D/,drillship,A drillship is a merchant vessel designed for use in exploratory offshore drilling of new oil and gas wells or for scientific drilling purposes.
SDN:L06::3Z,http://vocab.nerc.ac.uk/collection/L06/current/3Z/,surface vessel,A mobile platform with propulsion operating on and restricted to the surface of a water body.
SDN:L06::36,http://vocab.nerc.ac.uk/collection/L06/current/36/,fishing vessel,A platform operating on the surface of the water column whose primary purpose is the commercial harvesting of fish or shellfish but may be engaged in scientific activities such as fish stock surveys or mooring deployments and recoveries.
SDN:L06::38,http://vocab.nerc.ac.uk/collection/L06/current/38/,man-powered boat,A platform operating on the surface of the water column that is manually propelled and may not be easily removed from the water (e.g. trireme).
SDN:L06::18,http://vocab.nerc.ac.uk/collection/L06/current/18/,river station,An instrumented structure in a river upstream of its tidal limit.
SDN:L06::10,http://vocab.nerc.ac.uk/collection/L06/current/10/,land or seafloor,A platform located on the solid surface of the Earth either above or below sea level.
SDN:L06::69,http://vocab.nerc.ac.uk/collection/L06/current/69/,autogyro,"An aircraft without wings that obtains its lift from the rotation of overhead blades, but obtains forward populsion from a fixed propellor."
SDN:L06::30,http://vocab.nerc.ac.uk/collection/L06/current/30/,ship,"A large platform operating on the surface of the water column. Objective definitions for guidelines: >50m length (EU), >100 foot length (USA), >300 GRT weight (SOLAS). Subjective definition: a ship is a vessel big enough to carry a boat."
SDN:L06::61,http://vocab.nerc.ac.uk/collection/L06/current/61/,research aeroplane,"A fixed-wing self-propelled aircraft that is equipped, manned and operated for atmospheric, meteorological or oceanographic research."
SDN:L06::66,http://vocab.nerc.ac.uk/collection/L06/current/66/,manned spacecraft,A vehicle operating beyond the Earth's atmosphere with human occupants.
SDN:L06::6Z,http://vocab.nerc.ac.uk/collection/L06/current/6Z/,spacecraft,A platform operating beyond the Earth's atmosphere.
SDN:L06::52,http://vocab.nerc.ac.uk/collection/L06/current/52/,free-floating balloon,"A container filled with a gas that is lighter than air, which is free to drift in the atmosphere."
SDN:L06::50,http://vocab.nerc.ac.uk/collection/L06/current/50/,buoyant aircraft,A platform capable of flight in the atmosphere because it is lighter than air.
SDN:L06::26,http://vocab.nerc.ac.uk/collection/L06/current/26/,lowered unmanned submersible,"An unmanned platform lowered and raised vertically by a cable from the mothership.  Includes any type of profiling sensor mounting such as CTD frames, profiling radiometers and instrumented nets."
SDN:L06::20,http://vocab.nerc.ac.uk/collection/L06/current/20/,submersible,A platform operating within a water body.
SDN:L06::16,http://vocab.nerc.ac.uk/collection/L06/current/16/,offshore structure,"A fixed (for the duration of the measurements) man-made structure away from the coast to which instrumentation may be attached (e.g. oil rig, gas rig or jack-up barge)."
SDN:L06::3A,http://vocab.nerc.ac.uk/collection/L06/current/3A/,man-powered small boat,"A platform operating on the surface of the water column that is manually propelled and may be easily removed from the water (e.g. rowing boat, canoe)."
SDN:L06::6B,http://vocab.nerc.ac.uk/collection/L06/current/6B/,kite,An aerofoil tethered to the ground held aloft by the wind.
SDN:L06::41,http://vocab.nerc.ac.uk/collection/L06/current/41/,moored surface buoy,An unmanned instrumented platform operating on the surface of the water column loosely tethered to the seafloor to maintain a fixed position (e.g. ODAS buoy).
SDN:L06::48,http://vocab.nerc.ac.uk/collection/L06/current/48/,mooring,"A tethered collection of oceanographic instruments at a fixed location that may include seafloor, mid-water and surface components."
SDN:L06::6C,http://vocab.nerc.ac.uk/collection/L06/current/6C/,parachute,A fabric sheet designed to slow the descent of an object through the atmosphere.
SDN:L06::72,http://vocab.nerc.ac.uk/collection/L06/current/72/,diver,A human being with self-contained equipment or surface-connected suit enabling operation within the water column.
SDN:L06::70,http://vocab.nerc.ac.uk/collection/L06/current/70/,organism,A living creature carrying instruments or collecting samples.
SDN:L06::37,http://vocab.nerc.ac.uk/collection/L06/current/37/,self-propelled boat,"A small self-propelled platform operating on the surface of the water column in unpredictable locations that is smaller than a ship, but too large to easily remove from the water."
SDN:L06::9A,http://vocab.nerc.ac.uk/collection/L06/current/9A/,DUKW,A six-wheel drive amphibious truck developed during the second World War.
SDN:L06::95,http://vocab.nerc.ac.uk/collection/L06/current/95/,amphibious vehicle,A self-propelled platform capable of operating on land and within or on the surface of a water body.
SDN:L06::43,http://vocab.nerc.ac.uk/collection/L06/current/43/,subsurface mooring,A collection of oceanographic instruments attached to wires suspended between anchors on the seabed and buoyant spheres in the water column.
SDN:L06::35,http://vocab.nerc.ac.uk/collection/L06/current/35/,vessel of opportunity on fixed route,A platform repeatedly following a predictable fixed track on the surface of the water column that collects scientific (oceanographic and meteorological) data (e.g. an instrumented ferry).
SDN:L06::15,http://vocab.nerc.ac.uk/collection/L06/current/15/,land/onshore vehicle,"An instrumented vehicle or sample collector that operates on the solid surface of the Earth (e.g. mobile meteorological station, land crawler, snowmobile)."
SDN:L06::63,http://vocab.nerc.ac.uk/collection/L06/current/63/,rocket,"A rocket is a vehicle, missile or aircraft which obtains thrust by the reaction to the ejection of fast moving exhaust gas from within a rocket engine."
SDN:L06::32,http://vocab.nerc.ac.uk/collection/L06/current/32/,vessel of opportunity,A platform for purpose of commerce of any size operating on the surface of the water column in unpredictable locations that regularly collects scientific (oceanographic and meteorological) data (e.g. an instrumented cargo vessel).
SDN:L06::67,http://vocab.nerc.ac.uk/collection/L06/current/67/,helicopter,An aircraft without wings that obtains its lift from the rotation of overhead blades.
SDN:L06::62,http://vocab.nerc.ac.uk/collection/L06/current/62/,aeroplane,A fixed-wing self-propelled aircraft.
SDN:L06::6A,http://vocab.nerc.ac.uk/collection/L06/current/6A/,glider,A fixed-wing aircraft with no propulsion.
SDN:L06::13,http://vocab.nerc.ac.uk/collection/L06/current/13/,beach/intertidal zone structure,A structure to which instrumentation may be attached that is either in air or under water depending on the state of the tide and weather conditions.
SDN:L06::54,http://vocab.nerc.ac.uk/collection/L06/current/54/,airship,A self-propelled container filled with a gas that is lighter than air.
SDN:L06::24,http://vocab.nerc.ac.uk/collection/L06/current/24/,drifting manned submersible,A platform operating in the water column attached to a mothership by an umbilical but with no means of propulsion that has at least one human operator on board (e.g. bathysphere).
SDN:L06::22,http://vocab.nerc.ac.uk/collection/L06/current/22/,propelled unmanned submersible,A platform operating in the water column attached to a mothership by an umbilical with limited propulsion and no human operator on board (e.g. ROV).
SDN:L06::44,http://vocab.nerc.ac.uk/collection/L06/current/44/,drifting subsurface float,An unmanned instrumented platform drifting freely in the water column at a depth governed by its density (e.g. Swallow float).
SDN:L06::47,http://vocab.nerc.ac.uk/collection/L06/current/47/,float,A free-floating platform either on the surface of the water column or at a predetermined depth within the water column.
SDN:L06::76,http://vocab.nerc.ac.uk/collection/L06/current/76/,fish,A free-swimming creature that exists totally within the water column.
SDN:L06::73,http://vocab.nerc.ac.uk/collection/L06/current/73/,flightless bird,A bird that is unable to fly with the ability to exist within the water column (e.g. penguin).
SDN:L06::68,http://vocab.nerc.ac.uk/collection/L06/current/68/,satellite,A vehicle operating beyond the Earth's atmosphere without human occupants that orbits the Earth.
SDN:L06::33,http://vocab.nerc.ac.uk/collection/L06/current/33/,self-propelled small boat,"A small self-propelled platform operating on the surface of the water column that may be easily removed from the water (e.g. shore-based RIBs, ships' boats)."
