id,uri,prefLabel,definition
SDN:L22::TOOL0942,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0942/,Ocean Sonics icListen HF hydrophone,Instrument that contains a high frequency hydrophone and is able to either log data or stream data. For use in environmental monitoring ambient noise measurement; marine renewable energy device development; pipeline leak detection; ocean observatories; marine mammal monitoring and ocean noise measurement. It has a frequency range between 10 Hz - 200 kHz (+/- 6 dB bandwidth) and is depth rated to 200 m.
SDN:L22::TOOL1494,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1494/,Valeport miniSVP sound velocity profiler,"A sound velocity profiler used to measure the speed of sound in water. It is designed for use in survey operations in industry, military and academia. It can log data in continuous sampling or profile mode. It is fitted with Valeport's digital time of flight sound velocity sensor, a PRT temperature sensor and a piezo-resistive pressure transducer. The miniSVP is capable of storing over 10 million lines of data internally, and has a Bluetooth logger and communication set available for cable free data recovery. The miniSVP is available in either Acetal or Titanium housing. It measures sound velocity over the range 1375-1900 m/s in water temperatures ranging from -5 to +35 degC. Depending on the housing chosen, it is depth rated to 600 m (Acetal) or 6000 m (Titanium). It has an accuracy of +/- 0.02 m/s, and a resolution of 0.001 m/s."
SDN:L22::TOOL0239,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0239/,SiS RTM 4002 X digital reversing thermometer,"A second-generation digital thermometer that collects a burst of temperature readings when inverted. It has a range of -2C to 40C, a resolution of 0.0001C below 10C (0.001C above 10C) and an accuracy of 0.003C. A glass-titanium housing with double o-ring seals of similar physical dimensions to an Hg-in-glass instrument gives an operating depth of 10000m."
SDN:L22::TOOL0055,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0055/,RBR TR-1050 underwater temperature logger,"The TR-1050 is a small (230mm x 38mm OD), self-contained, submersible temperature recorder with a calibration to ±0.002°C.  Typical calibration drift of 0.002°C per year has been measured. It can be deployed for a period of up to three years and can collect more than 2,400,000 samples. Data are retained in memory for 20 years (even without batteries). It has a measurement range of -5°C to +35°C in its standard calibration but can be configured to measure wider ranges. The logger can be fitted with different thermistors to operate to as low as -40°C or up to +50°C."
SDN:L22::TOOL2076,http://vocab.nerc.ac.uk/collection/L22/current/TOOL2076/,RS Pro RS52 Digital Thermometer,The RS Pro RS52 is a handheld battery-powered digital thermometer. It outputs temperature measurements on an LCD display with optional units of measurement. degrees celcius or degrees fahrenheit display options are available. Temperature measurement range: -50 to 1300 degrees C/ -58 to 2372 degrees F. Sampling rate: 2.5 Hz.
SDN:L22::TOOL1614,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1614/,Sea-Bird SBE 3S temperature sensor,"A frequency output sensor. For use on moored and fixed-site temperature measuring systems. It can also be used as a component in custom systems. Exponentially related to temperature, the thermistor resistance is the controlling element in an optimized Wien Bridge oscillator circuit. Resulting sensor frequency is inversely proportional to the square root of the thermistor resistance. It consists of a glass-coated thermistor bead, pressure-protected in 2.1 mm diameter thin-walled stainless steel tube. It is available with a XSG or wet-pluggable MCBH connector, aluminum or titanium housing. The SBE 3S has a time response of approximately 0.6 sec and an initial accuracy of 0.001 degC, and is typically stable to 0.002 degC/year. It is depth rated to 3400 m (aluminum) or 10,500 m (titanium)."
SDN:L22::TOOL0061,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0061/,Teledyne RDI Workhorse Monitor 300 kHz direct-reading ADCP,A direct reading acoustic doppler current profiler (ADCP) with a standard depth rating of 200 m with a 6000 m rated case available as an option. 300 kHz broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement. It operates effectively between temperatures of -5 and 45 degC and has a velocity accuracy of 0.5 % of the water velocity +/- 0.5 cm/s.
SDN:L22::TOOL1684,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1684/,Kongsberg HiPAP 102 Ultra Short BaseLine acoustic positioning system,"A low frequency acoustic positioning system designed for use in deep water, utilising transponders with a depth rating down to 7000 metres, whilst the transducer has an operating range of 1 - 10000 meters. The HiPAP has applications in towfish and towed platform tracking, seabed reference for dynamic positioning of a vessel, high accuracy subsea metrology and positioning, telemetry and scientific research. The system is primarily used to position ROVs and other objects in very deep water and at long ranges, using either or both super short base line (SSBL) and long base line (LBL) principles. The instrument operates in a frequency band of 10 - 15 kHz, and features narrow 15 degree listening beams, with a range detection accuracy of 0.02 metres."
SDN:L22::TOOL1855,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1855/,Campbell Scientific (Goodrich) 0871LH1 freezing rain sensor,"A freezing rain sensor originally manufactured by Goodrich. It is used to detect the presence if icing conditions for the prevention of damage to power lines, to warn of icy road hazards, and prevention of ice build-up on wind turbine blades or aeroplane wings. The 0871LH1 uses resonant frequencies to determine the presence of icing conditions. Its main component is a nickel alloy rod that has a natural resonant frequency of 40 kHz. As ice collects on the rod, the added mass causes the resonant frequency to decrease. When the frequency decreases to 130 Hz (or 0.02 inch layer of ice), an internal heater automatically defrosts the sensor. It can operate in two modes; Sensing mode, where it operates with no ice or with probe ice thickness below the set point; De-icing mode, where it operates with probe ice thickness exceeding the set point. It has a built-in test (BIT) feature which is performed on initial power-up and continually. It features RS-422 output and operates at 9600 bps. It has an operating temperature range from -55 to +71 degC and an operating voltage from 18 to 29.5 Vdc. It has a maximum power draw of 5 W in sensing mode and 27 W in de-icing mode."
SDN:L22::TOOL0701,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0701/,Vaisala PTB110 barometer,"An industrial, analog barometer which uses a silicon capacitive sensor (BAROCAP). The sensor produces either frequency or voltage output. The operating range is between 500 - 1100 mbar, +/- 0.3 mbar total accuracy at 20 degree C."
SDN:L22::TOOL0080,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0080/,Institute of Oceanographic Sciences psychrometer,"A psychrometer designed by Institute of Oceanographic Sciences (now National Oceanography Centre) to measure wet and dry bulb atmospheric temperature. The instrument consisted of two similar thermometers that were mounted side by side. The dry bulb has its bulb exposed to the air; the wet bulb was wrapped in an absorbent material (muslin), which was immersed in water and served as a wick."
SDN:L22::TOOL0283,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0283/,Atmospheric thermometer,"A generic term for a device that measures atmospheric temperature. The term is for use where details of the make, model number and measurement principle are not known."
SDN:L22::TOOL2082,http://vocab.nerc.ac.uk/collection/L22/current/TOOL2082/,Paroscientific MET4A (fan-aspirated) meteorological measurement system,"The Paroscientific MET4A is a meteorological measurement system which provides data from barometric pressure, temperature, and relative humidity sensors. This instrument can measure pressure from 500 to 1100 hPa at an accuracy better than +/- 0.08 hPa. Temperature measurements range from -40 to 60 degrees C at a resolution of 0.01 degrees C."
SDN:L22::TOOL0923,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0923/,Vector Instruments air temperature sensor,Instrument used to measure air temperature. The model is unknown.
SDN:L22::TOOL1399,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1399/,RBR XX-105 {TPOD} (submersible) temperature logger,"A first generation RBR data logger. It is a single channel data logger with a built in, YSI 46033 thermistor. It has an operating range of 5 to 30 degC and resolution of 0.002 to 0.005 degC."
SDN:L22::TOOL0663,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0663/,CMST-DSTO underwater sound recorder,Instrument that contains a hydrophone plus a data logger in a deep-water housing designed for long-term monitoring of underwater noise. It can be deployed for periods of up to two years. Sampling frequency and schedule (including burst recording) may be programmed. More information at http://cmst.curtin.edu.au/products/usr.cfm.
